ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.PublicarCurso	publicarcurso	1591031178102	 	3.3.1
USER	PublicarCurso	85	START	1591031187751	1591031187751
REQUEST	85		Home	1591031187752	1591031187756	OK	 
REQUEST	45		IniciarSesion	1591031187751	1591031187756	OK	 
USER	PublicarCurso	86	START	1591031187852	1591031187852
REQUEST	86		Home	1591031187852	1591031187856	OK	 
REQUEST	46		IniciarSesion	1591031187852	1591031187856	OK	 
USER	PublicarCurso	87	START	1591031187949	1591031187949
REQUEST	47		IniciarSesion	1591031187950	1591031187956	OK	 
REQUEST	87		Home	1591031187950	1591031187957	OK	 
USER	PublicarCurso	88	START	1591031188048	1591031188048
REQUEST	88		Home	1591031188048	1591031188052	OK	 
REQUEST	48		IniciarSesion	1591031188048	1591031188051	OK	 
USER	PublicarCurso	89	START	1591031188153	1591031188153
REQUEST	89		Home	1591031188154	1591031188158	OK	 
REQUEST	49		IniciarSesion	1591031188154	1591031188158	OK	 
USER	PublicarCurso	90	START	1591031188253	1591031188253
REQUEST	90		Home	1591031188253	1591031188259	OK	 
REQUEST	50		IniciarSesion	1591031188253	1591031188258	OK	 
USER	PublicarCurso	91	START	1591031188353	1591031188353
REQUEST	91		Home	1591031188354	1591031188358	OK	 
REQUEST	51		IniciarSesion	1591031188353	1591031188359	OK	 
USER	PublicarCurso	92	START	1591031188429	1591031188429
REQUEST	92		Home	1591031188429	1591031188433	OK	 
REQUEST	52		IniciarSesion	1591031188474	1591031188479	OK	 
USER	PublicarCurso	93	START	1591031188531	1591031188531
REQUEST	93		Home	1591031188531	1591031188537	OK	 
REQUEST	53		IniciarSesion	1591031188568	1591031188574	OK	 
USER	PublicarCurso	94	START	1591031188631	1591031188631
REQUEST	94		Home	1591031188632	1591031188636	OK	 
REQUEST	54		IniciarSesion	1591031188668	1591031188671	OK	 
USER	PublicarCurso	95	START	1591031188732	1591031188732
REQUEST	95		Home	1591031188732	1591031188738	OK	 
REQUEST	55		IniciarSesion	1591031188769	1591031188774	OK	 
USER	PublicarCurso	96	START	1591031188827	1591031188827
REQUEST	96		Home	1591031188828	1591031188832	OK	 
REQUEST	56		IniciarSesion	1591031188870	1591031188881	OK	 
USER	PublicarCurso	97	START	1591031188928	1591031188928
REQUEST	97		Home	1591031188929	1591031188938	OK	 
REQUEST	57		IniciarSesion	1591031188970	1591031188974	OK	 
USER	PublicarCurso	98	START	1591031189027	1591031189027
REQUEST	98		Home	1591031189028	1591031189033	OK	 
REQUEST	58		IniciarSesion	1591031189082	1591031189085	OK	 
USER	PublicarCurso	99	START	1591031189128	1591031189128
REQUEST	99		Home	1591031189129	1591031189133	OK	 
REQUEST	59		IniciarSesion	1591031189172	1591031189176	OK	 
USER	PublicarCurso	100	START	1591031189230	1591031189230
REQUEST	100		Home	1591031189231	1591031189234	OK	 
REQUEST	60		IniciarSesion	1591031189268	1591031189271	OK	 
USER	PublicarCurso	101	START	1591031189332	1591031189332
REQUEST	101		Home	1591031189332	1591031189336	OK	 
REQUEST	61		IniciarSesion	1591031189369	1591031189374	OK	 
USER	PublicarCurso	102	START	1591031189438	1591031189438
REQUEST	102		Home	1591031189439	1591031189444	OK	 
REQUEST	62		IniciarSesion	1591031189474	1591031189478	OK	 
USER	PublicarCurso	103	START	1591031189543	1591031189543
REQUEST	103		Home	1591031189544	1591031189549	OK	 
REQUEST	63		IniciarSesion	1591031189569	1591031189574	OK	 
USER	PublicarCurso	104	START	1591031189638	1591031189638
REQUEST	104		Home	1591031189638	1591031189643	OK	 
REQUEST	64		IniciarSesion	1591031189670	1591031189674	OK	 
USER	PublicarCurso	105	START	1591031189740	1591031189740
REQUEST	105		Home	1591031189740	1591031189744	OK	 
REQUEST	65		IniciarSesion	1591031189773	1591031189776	OK	 
USER	PublicarCurso	106	START	1591031189840	1591031189840
REQUEST	106		Home	1591031189840	1591031189844	OK	 
REQUEST	66		IniciarSesion	1591031189872	1591031189876	OK	 
USER	PublicarCurso	107	START	1591031189940	1591031189940
REQUEST	107		Home	1591031189940	1591031189945	OK	 
REQUEST	67		IniciarSesion	1591031189973	1591031189978	OK	 
USER	PublicarCurso	108	START	1591031190041	1591031190041
REQUEST	108		Home	1591031190041	1591031190046	OK	 
REQUEST	68		IniciarSesion	1591031190073	1591031190076	OK	 
USER	PublicarCurso	109	START	1591031190142	1591031190142
REQUEST	109		Home	1591031190143	1591031190149	OK	 
REQUEST	69		IniciarSesion	1591031190169	1591031190172	OK	 
USER	PublicarCurso	110	START	1591031190237	1591031190237
REQUEST	110		Home	1591031190238	1591031190244	OK	 
REQUEST	70		IniciarSesion	1591031190270	1591031190276	OK	 
USER	PublicarCurso	111	START	1591031190338	1591031190338
REQUEST	111		Home	1591031190339	1591031190343	OK	 
REQUEST	71		IniciarSesion	1591031190372	1591031190375	OK	 
USER	PublicarCurso	112	START	1591031190449	1591031190449
REQUEST	112		Home	1591031190449	1591031190456	OK	 
REQUEST	72		IniciarSesion	1591031190470	1591031190473	OK	 
USER	PublicarCurso	113	START	1591031190549	1591031190549
REQUEST	113		Home	1591031190549	1591031190557	OK	 
REQUEST	73		IniciarSesion	1591031190570	1591031190573	OK	 
USER	PublicarCurso	114	START	1591031190649	1591031190649
REQUEST	114		Home	1591031190649	1591031190653	OK	 
REQUEST	74		IniciarSesion	1591031190681	1591031190685	OK	 
USER	PublicarCurso	115	START	1591031190750	1591031190750
REQUEST	115		Home	1591031190751	1591031190756	OK	 
REQUEST	75		IniciarSesion	1591031190772	1591031190775	OK	 
USER	PublicarCurso	116	START	1591031190852	1591031190852
REQUEST	116		Home	1591031190853	1591031190863	OK	 
REQUEST	76		IniciarSesion	1591031190868	1591031190871	OK	 
USER	PublicarCurso	117	START	1591031190953	1591031190953
REQUEST	117		Home	1591031190954	1591031190960	OK	 
REQUEST	77		IniciarSesion	1591031190968	1591031190971	OK	 
USER	PublicarCurso	118	START	1591031191048	1591031191048
REQUEST	118		Home	1591031191049	1591031191062	OK	 
REQUEST	78		IniciarSesion	1591031191069	1591031191073	OK	 
USER	PublicarCurso	119	START	1591031191147	1591031191147
REQUEST	119		Home	1591031191148	1591031191154	OK	 
REQUEST	79		IniciarSesion	1591031191158	1591031191164	OK	 
USER	PublicarCurso	120	START	1591031191252	1591031191252
REQUEST	120		Home	1591031191254	1591031191261	OK	 
REQUEST	80		IniciarSesion	1591031191268	1591031191271	OK	 
USER	PublicarCurso	121	START	1591031191347	1591031191347
REQUEST	121		Home	1591031191348	1591031191354	OK	 
REQUEST	81		IniciarSesion	1591031191368	1591031191374	OK	 
USER	PublicarCurso	122	START	1591031191442	1591031191442
REQUEST	122		Home	1591031191443	1591031191447	OK	 
REQUEST	82		IniciarSesion	1591031191469	1591031191472	OK	 
USER	PublicarCurso	123	START	1591031191543	1591031191543
REQUEST	123		Home	1591031191544	1591031191552	OK	 
REQUEST	83		IniciarSesion	1591031191569	1591031191572	OK	 
USER	PublicarCurso	124	START	1591031191638	1591031191638
REQUEST	124		Home	1591031191639	1591031191643	OK	 
REQUEST	84		IniciarSesion	1591031191671	1591031191674	OK	 
USER	PublicarCurso	125	START	1591031191737	1591031191737
REQUEST	125		Home	1591031191738	1591031191742	OK	 
REQUEST	85		IniciarSesion	1591031191770	1591031191774	OK	 
USER	PublicarCurso	126	START	1591031191839	1591031191839
REQUEST	126		Home	1591031191839	1591031191843	OK	 
REQUEST	86		IniciarSesion	1591031191871	1591031191874	OK	 
USER	PublicarCurso	127	START	1591031191940	1591031191940
REQUEST	127		Home	1591031191942	1591031191949	OK	 
REQUEST	87		IniciarSesion	1591031191972	1591031191976	OK	 
USER	PublicarCurso	128	START	1591031192041	1591031192041
REQUEST	128		Home	1591031192042	1591031192048	OK	 
REQUEST	88		IniciarSesion	1591031192073	1591031192076	OK	 
USER	PublicarCurso	129	START	1591031192143	1591031192143
REQUEST	129		Home	1591031192144	1591031192149	OK	 
REQUEST	89		IniciarSesion	1591031192168	1591031192172	OK	 
USER	PublicarCurso	130	START	1591031192237	1591031192237
REQUEST	130		Home	1591031192238	1591031192243	OK	 
REQUEST	90		IniciarSesion	1591031192269	1591031192273	OK	 
USER	PublicarCurso	131	START	1591031192342	1591031192342
REQUEST	131		Home	1591031192343	1591031192348	OK	 
REQUEST	91		IniciarSesion	1591031192380	1591031192390	OK	 
USER	PublicarCurso	132	START	1591031192432	1591031192432
REQUEST	132		Home	1591031192433	1591031192442	OK	 
REQUEST	92		IniciarSesion	1591031192453	1591031192456	OK	 
USER	PublicarCurso	133	START	1591031192532	1591031192532
REQUEST	133		Home	1591031192533	1591031192546	OK	 
REQUEST	93		IniciarSesion	1591031192553	1591031192556	OK	 
USER	PublicarCurso	134	START	1591031192633	1591031192633
REQUEST	134		Home	1591031192635	1591031192641	OK	 
REQUEST	94		IniciarSesion	1591031192649	1591031192652	OK	 
USER	PublicarCurso	135	START	1591031192727	1591031192727
REQUEST	135		Home	1591031192732	1591031192736	OK	 
REQUEST	95		IniciarSesion	1591031192748	1591031192751	OK	 
USER	PublicarCurso	136	START	1591031192833	1591031192833
REQUEST	136		Home	1591031192834	1591031192840	OK	 
REQUEST	96		IniciarSesion	1591031192848	1591031192851	OK	 
USER	PublicarCurso	137	START	1591031192927	1591031192927
REQUEST	137		Home	1591031192928	1591031192931	OK	 
REQUEST	97		IniciarSesion	1591031192960	1591031192963	OK	 
USER	PublicarCurso	138	START	1591031193027	1591031193027
REQUEST	138		Home	1591031193028	1591031193036	OK	 
REQUEST	98		IniciarSesion	1591031193049	1591031193052	OK	 
USER	PublicarCurso	139	START	1591031193127	1591031193127
REQUEST	139		Home	1591031193128	1591031193132	OK	 
REQUEST	99		IniciarSesion	1591031193149	1591031193153	OK	 
USER	PublicarCurso	140	START	1591031193229	1591031193229
REQUEST	140		Home	1591031193229	1591031193232	OK	 
REQUEST	100		IniciarSesion	1591031193250	1591031193253	OK	 
USER	PublicarCurso	141	START	1591031193328	1591031193328
REQUEST	141		Home	1591031193329	1591031193333	OK	 
REQUEST	101		IniciarSesion	1591031193350	1591031193354	OK	 
USER	PublicarCurso	142	START	1591031193452	1591031193452
REQUEST	142		Home	1591031193452	1591031193456	OK	 
REQUEST	102		IniciarSesion	1591031193463	1591031193466	OK	 
USER	PublicarCurso	143	START	1591031193548	1591031193548
REQUEST	143		Home	1591031193548	1591031193552	OK	 
REQUEST	103		IniciarSesion	1591031193569	1591031193573	OK	 
USER	PublicarCurso	144	START	1591031193649	1591031193649
REQUEST	144		Home	1591031193650	1591031193654	OK	 
REQUEST	104		IniciarSesion	1591031193660	1591031193663	OK	 
REQUEST	1		IniciadoSesion	1591031193403	1591031193684	OK	 
REQUEST	1		IniciadoSesion Redirect 1	1591031193687	1591031193690	OK	 
USER	PublicarCurso	145	START	1591031193752	1591031193752
REQUEST	145		Home	1591031193753	1591031193757	OK	 
REQUEST	2		IniciadoSesion	1591031193478	1591031193758	OK	 
REQUEST	2		IniciadoSesion Redirect 1	1591031193758	1591031193761	OK	 
REQUEST	105		IniciarSesion	1591031193763	1591031193767	OK	 
USER	PublicarCurso	146	START	1591031193848	1591031193848
REQUEST	146		Home	1591031193848	1591031193852	OK	 
REQUEST	106		IniciarSesion	1591031193859	1591031193863	OK	 
REQUEST	3		IniciadoSesion	1591031193602	1591031193883	OK	 
REQUEST	3		IniciadoSesion Redirect 1	1591031193883	1591031193886	OK	 
USER	PublicarCurso	147	START	1591031193951	1591031193951
REQUEST	147		Home	1591031193951	1591031193954	OK	 
REQUEST	107		IniciarSesion	1591031193962	1591031193965	OK	 
REQUEST	4		IniciadoSesion	1591031193693	1591031193977	OK	 
REQUEST	4		IniciadoSesion Redirect 1	1591031193978	1591031193980	OK	 
USER	PublicarCurso	148	START	1591031194052	1591031194052
REQUEST	148		Home	1591031194053	1591031194057	OK	 
REQUEST	108		IniciarSesion	1591031194058	1591031194061	OK	 
REQUEST	5		IniciadoSesion	1591031193790	1591031194069	OK	 
REQUEST	5		IniciadoSesion Redirect 1	1591031194070	1591031194072	OK	 
USER	PublicarCurso	149	START	1591031194149	1591031194149
REQUEST	149		Home	1591031194149	1591031194153	OK	 
REQUEST	109		IniciarSesion	1591031194170	1591031194173	OK	 
REQUEST	6		IniciadoSesion	1591031193903	1591031194183	OK	 
REQUEST	6		IniciadoSesion Redirect 1	1591031194183	1591031194186	OK	 
USER	PublicarCurso	150	START	1591031194251	1591031194251
REQUEST	150		Home	1591031194251	1591031194255	OK	 
REQUEST	110		IniciarSesion	1591031194262	1591031194265	OK	 
REQUEST	7		IniciadoSesion	1591031193998	1591031194270	OK	 
REQUEST	7		IniciadoSesion Redirect 1	1591031194270	1591031194274	OK	 
USER	PublicarCurso	151	START	1591031194347	1591031194347
REQUEST	151		Home	1591031194348	1591031194352	OK	 
REQUEST	111		IniciarSesion	1591031194358	1591031194362	OK	 
REQUEST	8		IniciadoSesion	1591031194091	1591031194378	OK	 
REQUEST	8		IniciadoSesion Redirect 1	1591031194378	1591031194381	OK	 
USER	PublicarCurso	152	START	1591031194449	1591031194449
REQUEST	152		Home	1591031194450	1591031194453	OK	 
REQUEST	9		IniciadoSesion	1591031194181	1591031194468	OK	 
REQUEST	9		IniciadoSesion Redirect 1	1591031194468	1591031194472	OK	 
REQUEST	112		IniciarSesion	1591031194471	1591031194474	OK	 
USER	PublicarCurso	153	START	1591031194552	1591031194552
REQUEST	153		Home	1591031194552	1591031194557	OK	 
REQUEST	113		IniciarSesion	1591031194568	1591031194572	OK	 
REQUEST	10		IniciadoSesion	1591031194278	1591031194576	OK	 
REQUEST	10		IniciadoSesion Redirect 1	1591031194576	1591031194581	OK	 
USER	PublicarCurso	154	START	1591031194648	1591031194648
REQUEST	154		Home	1591031194648	1591031194653	OK	 
REQUEST	114		IniciarSesion	1591031194670	1591031194674	OK	 
REQUEST	11		IniciadoSesion	1591031194379	1591031194681	OK	 
REQUEST	11		IniciadoSesion Redirect 1	1591031194681	1591031194686	OK	 
USER	PublicarCurso	155	START	1591031194751	1591031194751
REQUEST	155		Home	1591031194751	1591031194756	OK	 
REQUEST	115		IniciarSesion	1591031194773	1591031194778	OK	 
REQUEST	12		IniciadoSesion	1591031194483	1591031194790	OK	 
REQUEST	12		IniciadoSesion Redirect 1	1591031194790	1591031194793	OK	 
USER	PublicarCurso	156	START	1591031194853	1591031194853
REQUEST	156		Home	1591031194854	1591031194858	OK	 
REQUEST	116		IniciarSesion	1591031194868	1591031194872	OK	 
REQUEST	13		IniciadoSesion	1591031194578	1591031194887	OK	 
REQUEST	13		IniciadoSesion Redirect 1	1591031194887	1591031194890	OK	 
USER	PublicarCurso	157	START	1591031194949	1591031194949
REQUEST	157		Home	1591031194949	1591031194953	OK	 
REQUEST	14		IniciadoSesion	1591031194681	1591031194975	OK	 
REQUEST	14		IniciadoSesion Redirect 1	1591031194976	1591031194978	OK	 
