ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios	dosescenarios	1590969808337	 	3.3.1
REQUEST	133		Home	1590969819533	1590969819539	OK	 
REQUEST	55		IniciarSesion	1590969819566	1590969819570	OK	 
REQUEST	62		IniciarSesion	1590969819566	1590969819570	OK	 
USER	Listado	134	START	1590969819676	1590969819676
USER	Inscribirse	141	START	1590969819676	1590969819676
REQUEST	134		Home	1590969819677	1590969819687	OK	 
REQUEST	141		Home	1590969819677	1590969819687	OK	 
REQUEST	56		IniciarSesion	1590969819702	1590969819711	OK	 
REQUEST	63		IniciarSesion	1590969819702	1590969819711	OK	 
USER	Inscribirse	142	START	1590969819812	1590969819812
REQUEST	142		Home	1590969819812	1590969819817	OK	 
USER	Listado	135	START	1590969819823	1590969819823
REQUEST	135		Home	1590969819823	1590969819827	OK	 
REQUEST	64		IniciarSesion	1590969819855	1590969819858	OK	 
REQUEST	57		IniciarSesion	1590969819876	1590969819879	OK	 
USER	Inscribirse	143	START	1590969819965	1590969819965
USER	Listado	136	START	1590969819965	1590969819965
REQUEST	143		Home	1590969819966	1590969819970	OK	 
REQUEST	136		Home	1590969819966	1590969819970	OK	 
REQUEST	58		IniciarSesion	1590969819987	1590969819991	OK	 
REQUEST	65		IniciarSesion	1590969819987	1590969819991	OK	 
USER	Inscribirse	144	START	1590969820105	1590969820105
USER	Listado	137	START	1590969820105	1590969820105
REQUEST	144		Home	1590969820106	1590969820112	OK	 
REQUEST	137		Home	1590969820106	1590969820112	OK	 
REQUEST	66		IniciarSesion	1590969820132	1590969820137	OK	 
REQUEST	59		IniciarSesion	1590969820142	1590969820147	OK	 
USER	Inscribirse	145	START	1590969820246	1590969820246
USER	Listado	138	START	1590969820246	1590969820246
REQUEST	138		Home	1590969820248	1590969820261	OK	 
REQUEST	145		Home	1590969820248	1590969820261	OK	 
REQUEST	67		IniciarSesion	1590969820282	1590969820290	OK	 
REQUEST	60		IniciarSesion	1590969820282	1590969820290	OK	 
USER	Listado	139	START	1590969820396	1590969820396
USER	Inscribirse	146	START	1590969820396	1590969820396
REQUEST	146		Home	1590969820396	1590969820402	OK	 
REQUEST	139		Home	1590969820396	1590969820402	OK	 
REQUEST	68		IniciarSesion	1590969820418	1590969820423	OK	 
REQUEST	61		IniciarSesion	1590969820418	1590969820423	OK	 
USER	Listado	147	START	1590969820552	1590969820552
USER	Inscribirse	153	START	1590969820552	1590969820552
REQUEST	153		Home	1590969820553	1590969820557	OK	 
REQUEST	147		Home	1590969820553	1590969820557	OK	 
REQUEST	75		IniciarSesion	1590969820586	1590969820589	OK	 
REQUEST	69		IniciarSesion	1590969820586	1590969820589	OK	 
USER	Listado	148	START	1590969820727	1590969820727
USER	Inscribirse	154	START	1590969820727	1590969820727
REQUEST	154		Home	1590969820728	1590969820744	OK	 
REQUEST	148		Home	1590969820728	1590969820744	OK	 
REQUEST	76		IniciarSesion	1590969820743	1590969820752	OK	 
REQUEST	70		IniciarSesion	1590969820743	1590969820752	OK	 
USER	Listado	149	START	1590969820893	1590969820893
USER	Inscribirse	155	START	1590969820894	1590969820894
REQUEST	149		Home	1590969820894	1590969820900	OK	 
REQUEST	155		Home	1590969820894	1590969820900	OK	 
REQUEST	77		IniciarSesion	1590969820915	1590969820921	OK	 
REQUEST	71		IniciarSesion	1590969820915	1590969820921	OK	 
USER	Listado	150	START	1590969821055	1590969821055
USER	Inscribirse	156	START	1590969821055	1590969821055
REQUEST	150		Home	1590969821055	1590969821059	OK	 
REQUEST	156		Home	1590969821055	1590969821059	OK	 
REQUEST	72		IniciarSesion	1590969821087	1590969821092	OK	 
REQUEST	78		IniciarSesion	1590969821087	1590969821092	OK	 
USER	Inscribirse	157	START	1590969821227	1590969821227
USER	Listado	151	START	1590969821227	1590969821227
REQUEST	151		Home	1590969821228	1590969821234	OK	 
REQUEST	157		Home	1590969821227	1590969821234	OK	 
REQUEST	73		IniciarSesion	1590969821247	1590969821251	OK	 
REQUEST	79		IniciarSesion	1590969821247	1590969821251	OK	 
USER	Inscribirse	158	START	1590969821395	1590969821395
USER	Listado	152	START	1590969821395	1590969821395
REQUEST	158		Home	1590969821395	1590969821399	OK	 
REQUEST	152		Home	1590969821395	1590969821400	OK	 
REQUEST	80		IniciarSesion	1590969821417	1590969821421	OK	 
REQUEST	74		IniciarSesion	1590969821417	1590969821421	OK	 
USER	Listado	159	START	1590969821536	1590969821536
USER	Inscribirse	166	START	1590969821536	1590969821536
REQUEST	159		Home	1590969821536	1590969821548	OK	 
REQUEST	166		Home	1590969821536	1590969821548	OK	 
REQUEST	88		IniciarSesion	1590969821558	1590969821562	OK	 
REQUEST	81		IniciarSesion	1590969821558	1590969821562	OK	 
USER	Listado	160	START	1590969821673	1590969821673
USER	Inscribirse	167	START	1590969821673	1590969821673
REQUEST	160		Home	1590969821673	1590969821678	OK	 
REQUEST	167		Home	1590969821673	1590969821678	OK	 
REQUEST	82		IniciarSesion	1590969821694	1590969821698	OK	 
REQUEST	89		IniciarSesion	1590969821694	1590969821698	OK	 
USER	Listado	161	START	1590969821826	1590969821826
USER	Inscribirse	168	START	1590969821826	1590969821826
REQUEST	168		Home	1590969821826	1590969821831	OK	 
REQUEST	161		Home	1590969821826	1590969821831	OK	 
REQUEST	90		IniciarSesion	1590969821847	1590969821852	OK	 
REQUEST	83		IniciarSesion	1590969821847	1590969821852	OK	 
USER	Inscribirse	169	START	1590969821962	1590969821962
USER	Listado	162	START	1590969821962	1590969821962
REQUEST	162		Home	1590969821962	1590969821967	OK	 
REQUEST	169		Home	1590969821962	1590969821967	OK	 
REQUEST	91		IniciarSesion	1590969821984	1590969821987	OK	 
REQUEST	84		IniciarSesion	1590969821984	1590969821987	OK	 
USER	Inscribirse	170	START	1590969822104	1590969822104
USER	Listado	163	START	1590969822104	1590969822104
REQUEST	163		Home	1590969822104	1590969822110	OK	 
REQUEST	170		Home	1590969822104	1590969822110	OK	 
REQUEST	85		IniciarSesion	1590969822126	1590969822131	OK	 
REQUEST	92		IniciarSesion	1590969822126	1590969822131	OK	 
USER	Listado	164	START	1590969822255	1590969822255
USER	Inscribirse	171	START	1590969822255	1590969822255
REQUEST	171		Home	1590969822256	1590969822262	OK	 
REQUEST	164		Home	1590969822256	1590969822262	OK	 
REQUEST	93		IniciarSesion	1590969822266	1590969822270	OK	 
REQUEST	86		IniciarSesion	1590969822276	1590969822281	OK	 
USER	Inscribirse	172	START	1590969822395	1590969822395
USER	Listado	165	START	1590969822395	1590969822395
REQUEST	172		Home	1590969822395	1590969822401	OK	 
REQUEST	165		Home	1590969822395	1590969822402	OK	 
REQUEST	87		IniciarSesion	1590969822416	1590969822421	OK	 
REQUEST	94		IniciarSesion	1590969822427	1590969822433	OK	 
USER	Listado	173	START	1590969822556	1590969822556
USER	Inscribirse	179	START	1590969822556	1590969822556
REQUEST	173		Home	1590969822556	1590969822561	OK	 
REQUEST	179		Home	1590969822556	1590969822561	OK	 
REQUEST	101		IniciarSesion	1590969822578	1590969822582	OK	 
REQUEST	95		IniciarSesion	1590969822578	1590969822582	OK	 
USER	Listado	174	START	1590969822723	1590969822723
USER	Inscribirse	180	START	1590969822723	1590969822723
REQUEST	180		Home	1590969822724	1590969822734	OK	 
REQUEST	174		Home	1590969822724	1590969822734	OK	 
REQUEST	96		IniciarSesion	1590969822756	1590969822765	OK	 
REQUEST	102		IniciarSesion	1590969822756	1590969822765	OK	 
USER	Listado	175	START	1590969822892	1590969822892
USER	Inscribirse	181	START	1590969822892	1590969822892
REQUEST	181		Home	1590969822893	1590969822899	OK	 
REQUEST	175		Home	1590969822893	1590969822899	OK	 
REQUEST	103		IniciarSesion	1590969822923	1590969822927	OK	 
REQUEST	97		IniciarSesion	1590969822923	1590969822927	OK	 
USER	Inscribirse	182	START	1590969823052	1590969823052
USER	Listado	176	START	1590969823052	1590969823052
REQUEST	176		Home	1590969823052	1590969823057	OK	 
REQUEST	182		Home	1590969823052	1590969823057	OK	 
REQUEST	98		IniciarSesion	1590969823074	1590969823078	OK	 
REQUEST	104		IniciarSesion	1590969823074	1590969823078	OK	 
USER	Inscribirse	183	START	1590969823225	1590969823225
USER	Listado	177	START	1590969823225	1590969823225
REQUEST	183		Home	1590969823225	1590969823231	OK	 
REQUEST	177		Home	1590969823225	1590969823231	OK	 
REQUEST	99		IniciarSesion	1590969823246	1590969823250	OK	 
REQUEST	105		IniciarSesion	1590969823246	1590969823250	OK	 
USER	Listado	178	START	1590969823393	1590969823393
USER	Inscribirse	184	START	1590969823393	1590969823393
REQUEST	184		Home	1590969823394	1590969823402	OK	 
REQUEST	178		Home	1590969823394	1590969823402	OK	 
REQUEST	100		IniciarSesion	1590969823426	1590969823433	OK	 
REQUEST	106		IniciarSesion	1590969823426	1590969823434	OK	 
USER	Inscribirse	192	START	1590969823535	1590969823535
USER	Listado	185	START	1590969823535	1590969823535
REQUEST	192		Home	1590969823536	1590969823548	OK	 
REQUEST	185		Home	1590969823536	1590969823548	OK	 
REQUEST	114		IniciarSesion	1590969823558	1590969823562	OK	 
REQUEST	107		IniciarSesion	1590969823558	1590969823563	OK	 
USER	Inscribirse	193	START	1590969823682	1590969823682
USER	Listado	186	START	1590969823682	1590969823682
REQUEST	193		Home	1590969823682	1590969823691	OK	 
REQUEST	186		Home	1590969823682	1590969823695	OK	 
REQUEST	115		IniciarSesion	1590969823693	1590969823699	OK	 
REQUEST	108		IniciarSesion	1590969823693	1590969823699	OK	 
