ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios2	dosescenarios2	1591235274099	 	3.3.1
USER	ListadoCursos	122	START	1591235283313	1591235283313
USER	Publicar	115	START	1591235283313	1591235283313
REQUEST	115		Home	1591235283313	1591235283322	OK	 
REQUEST	122		Home	1591235283313	1591235283322	OK	 
REQUEST	24		IniciarSesion	1591235283346	1591235283356	OK	 
REQUEST	9		IniciarSesion	1591235283350	1591235283359	OK	 
USER	ListadoCursos	123	START	1591235283452	1591235283452
USER	Publicar	116	START	1591235283452	1591235283452
REQUEST	116		Home	1591235283453	1591235283463	OK	 
REQUEST	123		Home	1591235283453	1591235283463	OK	 
REQUEST	25		IniciarSesion	1591235283486	1591235283495	OK	 
REQUEST	10		IniciarSesion	1591235283491	1591235283501	OK	 
USER	Publicar	117	START	1591235283602	1591235283602
USER	ListadoCursos	124	START	1591235283602	1591235283602
REQUEST	117		Home	1591235283603	1591235283613	OK	 
REQUEST	124		Home	1591235283603	1591235283615	OK	 
REQUEST	26		IniciarSesion	1591235283626	1591235283634	OK	 
REQUEST	11		IniciarSesion	1591235283630	1591235283639	OK	 
USER	ListadoCursos	125	START	1591235283741	1591235283741
USER	Publicar	118	START	1591235283741	1591235283741
REQUEST	118		Home	1591235283741	1591235283748	OK	 
REQUEST	125		Home	1591235283741	1591235283748	OK	 
REQUEST	12		IniciarSesion	1591235283763	1591235283772	OK	 
REQUEST	27		IniciarSesion	1591235283763	1591235283772	OK	 
USER	ListadoCursos	126	START	1591235283885	1591235283885
USER	Publicar	119	START	1591235283885	1591235283885
REQUEST	119		Home	1591235283886	1591235283892	OK	 
REQUEST	126		Home	1591235283886	1591235283893	OK	 
REQUEST	28		IniciarSesion	1591235283901	1591235283906	OK	 
REQUEST	13		IniciarSesion	1591235283932	1591235283937	OK	 
USER	Publicar	120	START	1591235284030	1591235284030
USER	ListadoCursos	127	START	1591235284030	1591235284030
REQUEST	127		Home	1591235284032	1591235284042	OK	 
REQUEST	120		Home	1591235284032	1591235284042	OK	 
REQUEST	29		IniciarSesion	1591235284053	1591235284059	OK	 
REQUEST	14		IniciarSesion	1591235284066	1591235284078	OK	 
USER	Publicar	121	START	1591235284170	1591235284170
USER	ListadoCursos	128	START	1591235284170	1591235284170
REQUEST	121		Home	1591235284170	1591235284182	OK	 
REQUEST	128		Home	1591235284170	1591235284185	OK	 
REQUEST	15		IniciarSesion	1591235284203	1591235284212	OK	 
REQUEST	30		IniciarSesion	1591235284203	1591235284212	OK	 
USER	ListadoCursos	136	START	1591235284302	1591235284302
REQUEST	136		Home	1591235284303	1591235284310	OK	 
USER	Publicar	129	START	1591235284302	1591235284302
REQUEST	129		Home	1591235284323	1591235284329	OK	 
REQUEST	31		IniciarSesion	1591235284335	1591235284343	OK	 
REQUEST	38		IniciarSesion	1591235284335	1591235284343	OK	 
USER	ListadoCursos	137	START	1591235284441	1591235284441
USER	Publicar	130	START	1591235284441	1591235284441
REQUEST	130		Home	1591235284442	1591235284448	OK	 
REQUEST	137		Home	1591235284442	1591235284455	OK	 
REQUEST	32		IniciarSesion	1591235284474	1591235284481	OK	 
REQUEST	39		IniciarSesion	1591235284485	1591235284491	OK	 
USER	ListadoCursos	138	START	1591235284585	1591235284585
REQUEST	138		Home	1591235284586	1591235284593	OK	 
USER	Publicar	131	START	1591235284585	1591235284585
REQUEST	131		Home	1591235284604	1591235284609	OK	 
REQUEST	33		IniciarSesion	1591235284632	1591235284640	OK	 
REQUEST	40		IniciarSesion	1591235284632	1591235284640	OK	 
USER	ListadoCursos	139	START	1591235284731	1591235284731
USER	Publicar	132	START	1591235284731	1591235284731
REQUEST	139		Home	1591235284732	1591235284739	OK	 
REQUEST	132		Home	1591235284732	1591235284739	OK	 
REQUEST	41		IniciarSesion	1591235284773	1591235284779	OK	 
REQUEST	34		IniciarSesion	1591235284773	1591235284779	OK	 
USER	ListadoCursos	140	START	1591235284870	1591235284870
USER	Publicar	133	START	1591235284870	1591235284870
REQUEST	133		Home	1591235284871	1591235284877	OK	 
REQUEST	140		Home	1591235284871	1591235284877	OK	 
REQUEST	35		IniciarSesion	1591235284901	1591235284907	OK	 
REQUEST	42		IniciarSesion	1591235284901	1591235284908	OK	 
USER	ListadoCursos	141	START	1591235285010	1591235285010
USER	Publicar	134	START	1591235285010	1591235285010
REQUEST	141		Home	1591235285010	1591235285021	OK	 
REQUEST	134		Home	1591235285010	1591235285021	OK	 
REQUEST	43		IniciarSesion	1591235285064	1591235285073	OK	 
REQUEST	36		IniciarSesion	1591235285064	1591235285073	OK	 
