ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590688537350	 	3.3.1
REQUEST	80		Home	1590688552206	1590688552211	OK	 
REQUEST	80		request_1	1590688552212	1590688552215	OK	 
REQUEST	62		Login	1590688552221	1590688552225	OK	 
REQUEST	62		request_4	1590688552226	1590688552230	OK	 
USER	TransportesAcabados	81	START	1590688552370	1590688552370
REQUEST	81		Home	1590688552371	1590688552376	OK	 
REQUEST	81		request_1	1590688552377	1590688552382	OK	 
REQUEST	63		Login	1590688552392	1590688552396	OK	 
REQUEST	63		request_4	1590688552398	1590688552402	OK	 
USER	TransportesAcabados	82	START	1590688552531	1590688552531
REQUEST	82		Home	1590688552532	1590688552536	OK	 
REQUEST	82		request_1	1590688552538	1590688552542	OK	 
REQUEST	64		Login	1590688552553	1590688552558	OK	 
REQUEST	64		request_4	1590688552559	1590688552563	OK	 
USER	TransportesAcabados	83	START	1590688552702	1590688552702
REQUEST	83		Home	1590688552703	1590688552709	OK	 
REQUEST	83		request_1	1590688552710	1590688552713	OK	 
REQUEST	65		Login	1590688552722	1590688552727	OK	 
REQUEST	65		request_4	1590688552728	1590688552732	OK	 
USER	TransportesAcabados	84	START	1590688552872	1590688552872
REQUEST	84		Home	1590688552872	1590688552877	OK	 
REQUEST	84		request_1	1590688552878	1590688552883	OK	 
REQUEST	66		Login	1590688552883	1590688552887	OK	 
REQUEST	66		request_4	1590688552889	1590688552893	OK	 
USER	TransportesAcabados	85	START	1590688553031	1590688553031
REQUEST	85		Home	1590688553032	1590688553037	OK	 
REQUEST	85		request_1	1590688553038	1590688553042	OK	 
REQUEST	67		Login	1590688553053	1590688553056	OK	 
REQUEST	67		request_4	1590688553058	1590688553061	OK	 
USER	TransportesAcabados	86	START	1590688553203	1590688553203
REQUEST	86		Home	1590688553203	1590688553208	OK	 
REQUEST	86		request_1	1590688553209	1590688553213	OK	 
REQUEST	68		Login	1590688553224	1590688553228	OK	 
REQUEST	68		request_4	1590688553230	1590688553233	OK	 
USER	TransportesAcabados	87	START	1590688553365	1590688553365
REQUEST	87		Home	1590688553365	1590688553371	OK	 
REQUEST	87		request_1	1590688553372	1590688553376	OK	 
REQUEST	69		Login	1590688553401	1590688553406	OK	 
REQUEST	69		request_4	1590688553407	1590688553410	OK	 
USER	TransportesAcabados	88	START	1590688553530	1590688553530
REQUEST	88		Home	1590688553531	1590688553537	OK	 
REQUEST	88		request_1	1590688553538	1590688553542	OK	 
REQUEST	70		Login	1590688553551	1590688553555	OK	 
REQUEST	70		request_4	1590688553557	1590688553563	OK	 
USER	TransportesAcabados	89	START	1590688553706	1590688553706
REQUEST	89		Home	1590688553706	1590688553712	OK	 
REQUEST	89		request_1	1590688553713	1590688553716	OK	 
REQUEST	71		Login	1590688553732	1590688553736	OK	 
REQUEST	71		request_4	1590688553737	1590688553743	OK	 
USER	TransportesAcabados	90	START	1590688553860	1590688553860
REQUEST	90		Home	1590688553861	1590688553866	OK	 
REQUEST	90		request_1	1590688553867	1590688553871	OK	 
REQUEST	72		Login	1590688553892	1590688553896	OK	 
REQUEST	72		request_4	1590688553897	1590688553901	OK	 
USER	TransportesAcabados	91	START	1590688554032	1590688554032
REQUEST	91		Home	1590688554051	1590688554057	OK	 
REQUEST	73		Login	1590688554051	1590688554057	OK	 
REQUEST	91		request_1	1590688554058	1590688554064	OK	 
REQUEST	73		request_4	1590688554058	1590688554064	OK	 
USER	TransportesAcabados	92	START	1590688554210	1590688554210
REQUEST	92		Home	1590688554211	1590688554215	OK	 
REQUEST	92		request_1	1590688554216	1590688554220	OK	 
REQUEST	74		Login	1590688554221	1590688554225	OK	 
REQUEST	74		request_4	1590688554227	1590688554232	OK	 
USER	TransportesAcabados	93	START	1590688554380	1590688554380
REQUEST	93		Home	1590688554381	1590688554387	OK	 
REQUEST	93		request_1	1590688554388	1590688554392	OK	 
REQUEST	75		Login	1590688554391	1590688554396	OK	 
REQUEST	75		request_4	1590688554397	1590688554403	OK	 
USER	TransportesAcabados	94	START	1590688554553	1590688554553
REQUEST	94		Home	1590688554554	1590688554559	OK	 
REQUEST	76		Login	1590688554553	1590688554559	OK	 
REQUEST	94		request_1	1590688554560	1590688554564	OK	 
REQUEST	76		request_4	1590688554560	1590688554565	OK	 
USER	TransportesAcabados	95	START	1590688554725	1590688554725
REQUEST	95		Home	1590688554726	1590688554734	OK	 
REQUEST	77		Login	1590688554726	1590688554734	OK	 
REQUEST	95		request_1	1590688554735	1590688554742	OK	 
REQUEST	77		request_4	1590688554736	1590688554744	OK	 
USER	TransportesAcabados	96	START	1590688554890	1590688554890
REQUEST	78		Login	1590688554886	1590688554893	OK	 
REQUEST	96		Home	1590688554891	1590688554898	OK	 
REQUEST	78		request_4	1590688554894	1590688554901	OK	 
REQUEST	96		request_1	1590688554900	1590688554917	OK	 
USER	TransportesAcabados	97	START	1590688555051	1590688555051
REQUEST	97		Home	1590688555051	1590688555059	OK	 
REQUEST	79		Login	1590688555051	1590688555061	OK	 
REQUEST	97		request_1	1590688555061	1590688555069	OK	 
REQUEST	79		request_4	1590688555063	1590688555069	OK	 
USER	TransportesAcabados	98	START	1590688555215	1590688555215
REQUEST	98		Home	1590688555216	1590688555222	OK	 
REQUEST	98		request_1	1590688555224	1590688555229	OK	 
REQUEST	80		Login	1590688555227	1590688555233	OK	 
REQUEST	80		request_4	1590688555235	1590688555241	OK	 
USER	TransportesAcabados	99	START	1590688555384	1590688555384
REQUEST	99		Home	1590688555385	1590688555398	OK	 
REQUEST	99		request_1	1590688555400	1590688555405	OK	 
REQUEST	81		Login	1590688555401	1590688555410	OK	 
REQUEST	81		request_4	1590688555411	1590688555417	OK	 
USER	TransportesAcabados	100	START	1590688555553	1590688555553
REQUEST	82		Login	1590688555554	1590688555565	OK	 
REQUEST	100		Home	1590688555554	1590688555570	OK	 
REQUEST	82		request_4	1590688555567	1590688555577	OK	 
REQUEST	100		request_1	1590688555571	1590688555581	OK	 
USER	TransportesAcabados	101	START	1590688555711	1590688555711
REQUEST	101		Home	1590688555712	1590688555718	OK	 
REQUEST	101		request_1	1590688555719	1590688555728	OK	 
REQUEST	83		Login	1590688555731	1590688555736	OK	 
REQUEST	83		request_4	1590688555737	1590688555742	OK	 
REQUEST	2		Authenticated	1590688555286	1590688555862	OK	 
REQUEST	2		Authenticated Redirect 1	1590688555868	1590688555874	OK	 
REQUEST	1		Authenticated	1590688555293	1590688555892	OK	 
USER	TransportesAcabados	102	START	1590688555897	1590688555897
