ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
REQUEST	103		Home	1591032734879	1591032734883	OK	 
REQUEST	43		IniciarSesion	1591032734911	1591032734917	OK	 
USER	VerCursosDisponibles	104	START	1591032734956	1591032734956
REQUEST	104		Home	1591032734957	1591032734961	OK	 
REQUEST	44		IniciarSesion	1591032734990	1591032734995	OK	 
USER	VerCursosDisponibles	105	START	1591032735046	1591032735046
REQUEST	105		Home	1591032735047	1591032735050	OK	 
REQUEST	45		IniciarSesion	1591032735078	1591032735081	OK	 
USER	VerCursosDisponibles	106	START	1591032735130	1591032735130
REQUEST	106		Home	1591032735130	1591032735134	OK	 
REQUEST	46		IniciarSesion	1591032735156	1591032735159	OK	 
USER	VerCursosDisponibles	107	START	1591032735208	1591032735208
REQUEST	107		Home	1591032735208	1591032735212	OK	 
REQUEST	47		IniciarSesion	1591032735252	1591032735257	OK	 
USER	VerCursosDisponibles	108	START	1591032735297	1591032735297
REQUEST	108		Home	1591032735298	1591032735302	OK	 
REQUEST	48		IniciarSesion	1591032735330	1591032735333	OK	 
USER	VerCursosDisponibles	109	START	1591032735378	1591032735378
REQUEST	109		Home	1591032735379	1591032735383	OK	 
REQUEST	49		IniciarSesion	1591032735406	1591032735411	OK	 
USER	VerCursosDisponibles	110	START	1591032735479	1591032735479
REQUEST	110		Home	1591032735480	1591032735485	OK	 
REQUEST	50		IniciarSesion	1591032735501	1591032735505	OK	 
USER	VerCursosDisponibles	111	START	1591032735558	1591032735558
REQUEST	111		Home	1591032735559	1591032735563	OK	 
REQUEST	51		IniciarSesion	1591032735590	1591032735594	OK	 
USER	VerCursosDisponibles	112	START	1591032735636	1591032735636
REQUEST	112		Home	1591032735636	1591032735641	OK	 
REQUEST	52		IniciarSesion	1591032735668	1591032735674	OK	 
USER	VerCursosDisponibles	113	START	1591032735730	1591032735730
REQUEST	113		Home	1591032735731	1591032735734	OK	 
REQUEST	53		IniciarSesion	1591032735746	1591032735748	OK	 
USER	VerCursosDisponibles	114	START	1591032735810	1591032735810
REQUEST	114		Home	1591032735810	1591032735814	OK	 
REQUEST	54		IniciarSesion	1591032735826	1591032735828	OK	 
USER	VerCursosDisponibles	115	START	1591032735892	1591032735892
REQUEST	115		Home	1591032735893	1591032735899	OK	 
REQUEST	55		IniciarSesion	1591032735917	1591032735921	OK	 
USER	VerCursosDisponibles	116	START	1591032735977	1591032735977
