ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.SolicitarTransporteMaxRendPerfomance	solicitartransportemaxrendperfomance	1590696459136	 	3.3.1
USER	solicitarTransporteNeg	69	START	1590696472239	1590696472239
USER	solicitarTransportePos	66	START	1590696472239	1590696472239
REQUEST	69		Home	1590696472240	1590696472245	OK	 
REQUEST	66		Home	1590696472240	1590696472246	OK	 
REQUEST	66		request_1	1590696472247	1590696472252	OK	 
REQUEST	69		request_1	1590696472247	1590696472252	OK	 
REQUEST	41		Login	1590696472282	1590696472286	OK	 
REQUEST	41		request_3	1590696472288	1590696472292	OK	 
REQUEST	38		Login	1590696472293	1590696472298	OK	 
REQUEST	38		request_3	1590696472299	1590696472305	OK	 
USER	solicitarTransporteNeg	70	START	1590696472574	1590696472574
REQUEST	70		Home	1590696472574	1590696472579	OK	 
REQUEST	70		request_1	1590696472580	1590696472583	OK	 
USER	solicitarTransportePos	67	START	1590696472585	1590696472585
REQUEST	67		Home	1590696472585	1590696472591	OK	 
REQUEST	67		request_1	1590696472592	1590696472596	OK	 
REQUEST	39		Login	1590696472599	1590696472604	OK	 
REQUEST	42		Login	1590696472599	1590696472605	OK	 
REQUEST	39		request_3	1590696472606	1590696472611	OK	 
REQUEST	42		request_3	1590696472606	1590696472611	OK	 
USER	solicitarTransportePos	71	START	1590696472909	1590696472909
USER	solicitarTransporteNeg	74	START	1590696472909	1590696472909
REQUEST	71		Home	1590696472910	1590696472916	OK	 
REQUEST	74		Home	1590696472910	1590696472920	OK	 
REQUEST	71		request_1	1590696472917	1590696472922	OK	 
REQUEST	74		request_1	1590696472921	1590696472925	OK	 
REQUEST	43		Login	1590696472941	1590696472946	OK	 
REQUEST	46		Login	1590696472941	1590696472946	OK	 
REQUEST	43		request_3	1590696472947	1590696472953	OK	 
REQUEST	46		request_3	1590696472947	1590696472953	OK	 
USER	solicitarTransportePos	72	START	1590696473239	1590696473239
USER	solicitarTransporteNeg	75	START	1590696473239	1590696473239
REQUEST	75		Home	1590696473240	1590696473246	OK	 
REQUEST	72		Home	1590696473240	1590696473247	OK	 
REQUEST	75		request_1	1590696473247	1590696473252	OK	 
REQUEST	72		request_1	1590696473248	1590696473253	OK	 
REQUEST	44		Login	1590696473281	1590696473286	OK	 
REQUEST	47		Login	1590696473281	1590696473286	OK	 
REQUEST	44		request_3	1590696473287	1590696473291	OK	 
REQUEST	47		request_3	1590696473287	1590696473292	OK	 
USER	solicitarTransporteNeg	76	START	1590696473573	1590696473573
USER	solicitarTransportePos	73	START	1590696473573	1590696473573
REQUEST	73		Home	1590696473573	1590696473579	OK	 
REQUEST	76		Home	1590696473573	1590696473579	OK	 
REQUEST	76		request_1	1590696473581	1590696473586	OK	 
REQUEST	73		request_1	1590696473580	1590696473586	OK	 
REQUEST	48		Login	1590696473610	1590696473614	OK	 
REQUEST	48		request_3	1590696473615	1590696473619	OK	 
REQUEST	45		Login	1590696473621	1590696473624	OK	 
REQUEST	45		request_3	1590696473626	1590696473629	OK	 
USER	solicitarTransportePos	77	START	1590696473919	1590696473919
USER	solicitarTransporteNeg	80	START	1590696473919	1590696473919
REQUEST	80		Home	1590696473920	1590696473925	OK	 
REQUEST	77		Home	1590696473920	1590696473925	OK	 
REQUEST	77		request_1	1590696473927	1590696473932	OK	 
REQUEST	80		request_1	1590696473927	1590696473932	OK	 
REQUEST	52		Login	1590696473950	1590696473955	OK	 
REQUEST	49		Login	1590696473950	1590696473955	OK	 
REQUEST	52		request_3	1590696473956	1590696473961	OK	 
REQUEST	49		request_3	1590696473956	1590696473961	OK	 
USER	solicitarTransporteNeg	81	START	1590696474251	1590696474251
USER	solicitarTransportePos	78	START	1590696474251	1590696474251
REQUEST	81		Home	1590696474251	1590696474256	OK	 
REQUEST	78		Home	1590696474251	1590696474257	OK	 
REQUEST	81		request_1	1590696474258	1590696474263	OK	 
REQUEST	78		request_1	1590696474258	1590696474264	OK	 
REQUEST	53		Login	1590696474282	1590696474287	OK	 
REQUEST	50		Login	1590696474282	1590696474287	OK	 
REQUEST	53		request_3	1590696474288	1590696474293	OK	 
REQUEST	50		request_3	1590696474288	1590696474293	OK	 
USER	solicitarTransporteNeg	82	START	1590696474579	1590696474579
USER	solicitarTransportePos	79	START	1590696474579	1590696474579
REQUEST	79		Home	1590696474580	1590696474586	OK	 
REQUEST	82		Home	1590696474580	1590696474586	OK	 
REQUEST	82		request_1	1590696474587	1590696474592	OK	 
REQUEST	79		request_1	1590696474587	1590696474593	OK	 
REQUEST	51		Login	1590696474611	1590696474616	OK	 
REQUEST	54		Login	1590696474611	1590696474616	OK	 
REQUEST	54		request_3	1590696474618	1590696474622	OK	 
REQUEST	51		request_3	1590696474618	1590696474622	OK	 
USER	solicitarTransporteNeg	85	START	1590696475094	1590696475094
USER	solicitarTransportePos	83	START	1590696475094	1590696475094
REQUEST	83		Home	1590696475095	1590696475101	OK	 
REQUEST	85		Home	1590696475095	1590696475101	OK	 
REQUEST	83		request_1	1590696475103	1590696475107	OK	 
REQUEST	85		request_1	1590696475103	1590696475107	OK	 
REQUEST	55		Login	1590696475110	1590696475115	OK	 
REQUEST	57		Login	1590696475110	1590696475115	OK	 
REQUEST	57		request_3	1590696475116	1590696475121	OK	 
REQUEST	55		request_3	1590696475116	1590696475121	OK	 
USER	solicitarTransporteNeg	86	START	1590696475593	1590696475593
USER	solicitarTransportePos	84	START	1590696475593	1590696475593
REQUEST	84		Home	1590696475594	1590696475600	OK	 
REQUEST	86		Home	1590696475594	1590696475600	OK	 
REQUEST	84		request_1	1590696475601	1590696475605	OK	 
REQUEST	86		request_1	1590696475601	1590696475606	OK	 
REQUEST	58		Login	1590696475619	1590696475624	OK	 
REQUEST	56		Login	1590696475619	1590696475624	OK	 
REQUEST	58		request_3	1590696475626	1590696475630	OK	 
REQUEST	56		request_3	1590696475626	1590696475630	OK	 
USER	solicitarTransporteNeg	90	START	1590696475922	1590696475922
USER	solicitarTransportePos	87	START	1590696475922	1590696475922
REQUEST	90		Home	1590696475923	1590696475930	OK	 
REQUEST	87		Home	1590696475923	1590696475930	OK	 
REQUEST	87		request_1	1590696475931	1590696475936	OK	 
REQUEST	90		request_1	1590696475931	1590696475936	OK	 
REQUEST	62		Login	1590696475954	1590696475959	OK	 
REQUEST	59		Login	1590696475954	1590696475959	OK	 
REQUEST	59		request_3	1590696475960	1590696475964	OK	 
REQUEST	62		request_3	1590696475960	1590696475965	OK	 
