ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.Transportar2EscaneriosPerfomance	transportar2escaneriosperfomance	1590747969250	 	3.3.1
REQUEST	68		request_1	1590747982198	1590747982203	OK	 
REQUEST	37		Login	1590747982226	1590747982231	OK	 
REQUEST	40		Login	1590747982226	1590747982231	OK	 
REQUEST	37		request_3	1590747982233	1590747982237	OK	 
REQUEST	40		request_3	1590747982233	1590747982237	OK	 
USER	transportarNeg	66	START	1590747982531	1590747982531
USER	transportarPos	69	START	1590747982531	1590747982531
REQUEST	69		Home	1590747982531	1590747982537	OK	 
REQUEST	66		Home	1590747982531	1590747982537	OK	 
REQUEST	69		request_1	1590747982539	1590747982544	OK	 
REQUEST	66		request_1	1590747982539	1590747982544	OK	 
REQUEST	38		Login	1590747982546	1590747982550	OK	 
REQUEST	38		request_3	1590747982552	1590747982557	OK	 
REQUEST	41		Login	1590747982556	1590747982562	OK	 
REQUEST	41		request_3	1590747982564	1590747982568	OK	 
USER	transportarNeg	67	START	1590747982857	1590747982857
USER	transportarPos	70	START	1590747982857	1590747982857
REQUEST	70		Home	1590747982857	1590747982864	OK	 
REQUEST	67		Home	1590747982857	1590747982865	OK	 
REQUEST	67		request_1	1590747982866	1590747982873	OK	 
REQUEST	70		request_1	1590747982866	1590747982874	OK	 
REQUEST	42		Login	1590747982889	1590747982895	OK	 
REQUEST	39		Login	1590747982889	1590747982895	OK	 
REQUEST	39		request_3	1590747982896	1590747982901	OK	 
REQUEST	42		request_3	1590747982896	1590747982901	OK	 
USER	transportarNeg	71	START	1590747983202	1590747983202
USER	transportarPos	74	START	1590747983203	1590747983203
REQUEST	46		Login	1590747983202	1590747983208	OK	 
REQUEST	71		Home	1590747983203	1590747983212	OK	 
REQUEST	43		Login	1590747983202	1590747983212	OK	 
REQUEST	74		Home	1590747983203	1590747983216	OK	 
REQUEST	46		request_3	1590747983210	1590747983220	OK	 
REQUEST	43		request_3	1590747983213	1590747983221	OK	 
REQUEST	74		request_1	1590747983218	1590747983226	OK	 
REQUEST	71		request_1	1590747983213	1590747983229	OK	 
USER	transportarNeg	72	START	1590747983527	1590747983527
USER	transportarPos	75	START	1590747983527	1590747983527
REQUEST	75		Home	1590747983528	1590747983534	OK	 
REQUEST	72		Home	1590747983528	1590747983534	OK	 
REQUEST	72		request_1	1590747983535	1590747983541	OK	 
REQUEST	75		request_1	1590747983535	1590747983541	OK	 
REQUEST	47		Login	1590747983539	1590747983544	OK	 
REQUEST	44		Login	1590747983542	1590747983548	OK	 
REQUEST	47		request_3	1590747983546	1590747983553	OK	 
REQUEST	44		request_3	1590747983550	1590747983556	OK	 
USER	transportarPos	76	START	1590747983856	1590747983856
USER	transportarNeg	73	START	1590747983856	1590747983856
REQUEST	76		Home	1590747983857	1590747983863	OK	 
REQUEST	73		Home	1590747983857	1590747983863	OK	 
