ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
REQUEST	48		IniciarSesion	1591034741642	1591034741646	OK	 
USER	InscribirCurso	104	START	1591034741722	1591034741722
REQUEST	104		Home	1591034741722	1591034741730	OK	 
REQUEST	49		IniciarSesion	1591034741732	1591034741736	OK	 
USER	InscribirCurso	105	START	1591034741809	1591034741809
REQUEST	105		Home	1591034741809	1591034741813	OK	 
REQUEST	50		IniciarSesion	1591034741819	1591034741823	OK	 
USER	InscribirCurso	106	START	1591034741898	1591034741898
REQUEST	106		Home	1591034741899	1591034741902	OK	 
REQUEST	51		IniciarSesion	1591034741909	1591034741912	OK	 
USER	InscribirCurso	107	START	1591034741992	1591034741992
REQUEST	107		Home	1591034741993	1591034741997	OK	 
REQUEST	52		IniciarSesion	1591034742003	1591034742007	OK	 
USER	InscribirCurso	108	START	1591034742079	1591034742079
REQUEST	108		Home	1591034742079	1591034742084	OK	 
REQUEST	53		IniciarSesion	1591034742090	1591034742094	OK	 
USER	InscribirCurso	109	START	1591034742180	1591034742180
REQUEST	109		Home	1591034742181	1591034742187	OK	 
REQUEST	54		IniciarSesion	1591034742181	1591034742187	OK	 
USER	InscribirCurso	110	START	1591034742271	1591034742271
REQUEST	110		Home	1591034742272	1591034742277	OK	 
REQUEST	55		IniciarSesion	1591034742271	1591034742277	OK	 
USER	InscribirCurso	111	START	1591034742361	1591034742361
REQUEST	111		Home	1591034742362	1591034742366	OK	 
REQUEST	56		IniciarSesion	1591034742361	1591034742366	OK	 
USER	InscribirCurso	112	START	1591034742450	1591034742450
REQUEST	112		Home	1591034742450	1591034742454	OK	 
REQUEST	57		IniciarSesion	1591034742472	1591034742475	OK	 
USER	InscribirCurso	113	START	1591034742541	1591034742541
REQUEST	113		Home	1591034742542	1591034742548	OK	 
REQUEST	58		IniciarSesion	1591034742564	1591034742569	OK	 
USER	InscribirCurso	114	START	1591034742631	1591034742631
REQUEST	114		Home	1591034742632	1591034742637	OK	 
REQUEST	59		IniciarSesion	1591034742654	1591034742658	OK	 
USER	InscribirCurso	115	START	1591034742723	1591034742723
REQUEST	115		Home	1591034742724	1591034742731	OK	 
REQUEST	60		IniciarSesion	1591034742739	1591034742742	OK	 
USER	InscribirCurso	116	START	1591034742813	1591034742813
REQUEST	116		Home	1591034742814	1591034742818	OK	 
REQUEST	61		IniciarSesion	1591034742829	1591034742832	OK	 
USER	InscribirCurso	117	START	1591034742898	1591034742898
REQUEST	117		Home	1591034742899	1591034742905	OK	 
REQUEST	62		IniciarSesion	1591034742931	1591034742935	OK	 
USER	InscribirCurso	118	START	1591034742989	1591034742989
REQUEST	118		Home	1591034742990	1591034742995	OK	 
REQUEST	63		IniciarSesion	1591034743011	1591034743015	OK	 
USER	InscribirCurso	119	START	1591034743081	1591034743081
REQUEST	119		Home	1591034743082	1591034743093	OK	 
REQUEST	64		IniciarSesion	1591034743103	1591034743107	OK	 
USER	InscribirCurso	120	START	1591034743182	1591034743182
REQUEST	120		Home	1591034743183	1591034743195	OK	 
REQUEST	65		IniciarSesion	1591034743194	1591034743203	OK	 
USER	InscribirCurso	121	START	1591034743271	1591034743271
REQUEST	121		Home	1591034743273	1591034743283	OK	 
REQUEST	66		IniciarSesion	1591034743293	1591034743297	OK	 
USER	InscribirCurso	122	START	1591034743361	1591034743361
REQUEST	122		Home	1591034743362	1591034743365	OK	 
REQUEST	67		IniciarSesion	1591034743382	1591034743385	OK	 
USER	InscribirCurso	123	START	1591034743449	1591034743449
REQUEST	123		Home	1591034743450	1591034743453	OK	 
REQUEST	68		IniciarSesion	1591034743471	1591034743474	OK	 
USER	InscribirCurso	124	START	1591034743538	1591034743538
REQUEST	124		Home	1591034743539	1591034743542	OK	 
